parent_id,alumn_id
33757820502,"['20537152168', '17165860582', '13813887393']"
80556496428,['13735327376']
24075271453,['13735327376']
7788675292,['18673741977']
82520295809,"['16061839434', '13962517315']"
62640948525,"['16061839434', '13962517315']"
26904072892,"['17172710586', '13972107315']"
41892484190,"['17172710586', '13972107315']"
62264948940,['14119047446']
6099496702,['14119047446']
60038014083,['14111867440']
20413463213,"['17955831358', '13730297373']"
54269804107,"['17955831358', '13730297373']"
74858994486,['14102507445']
59537891158,['14102507445']
35863815160,['13810747393']
30804047516,['13810747393']
1308378702,['13973077314']
32113580796,['13973077314']
15442822594,"['16426199409', '14080937443']"
94972830814,"['16426199409', '14080937443']"
12547130763,['13941807317']
22864958637,['13941807317']
7199835735,['13617787338']
6675261577,['21906764323']
24664422762,['21906764323']
93455530735,['18624961824']
94739026814,['18624961824']
66323532990,['13942877318']
86354717758,['13942877318']
50029449351,"['19775182451', '14207937461']"
88205107645,"['19775182451', '14207937461']"
32532547288,"['16419479409', '14098057448']"
56638858238,['14098057448']
93102954841,['13937417318']
6506626823,['14092927444']
99439073383,['14092927444']
69331864317,['14507337716']
86233880647,['13836327399']
59689012339,"['20470922007', '17088140558', '13836327399']"
39754421755,['14160817452']
82701575139,['14160817452']
96720000763,"['17897041353', '16053439430', '14167857456']"
82402103843,"['17897041353', '16053439430', '14167857456']"
59628806317,"['15871309392', '14035457433']"
22883657640,"['15871309392', '14035457433']"
74100456857,['15847579379']
49803575933,['13791537389']
10191378818,['13791537389']
85077642627,"['16063689437', '12498506478']"
55675026499,"['16063689437', '12498506478']"
69690845249,['12859926488']
85266982327,['12859926488']
1812740529,['12634496478']
63811380446,['12634496478']
69576413127,['12549656472']
61233840090,['12549656472']
44228181206,['12590326475']
70884907593,['12590326475']
38880127596,['12552046474']
47860179521,['12552046474']
67089391734,['12778876472']
87535554767,['12778876472']
96436938411,['12377396476']
37174786975,['12377396476']
40572328826,"['14881928474', '12346556478']"
7847569312,"['14881928474', '12346556478']"
48639365452,['12479766472']
88143515606,['12479766472']
47501933307,['12935836488']
77952212711,['12935836488']
68820597581,['6322495008']
15408001158,['6322495008']
83877918395,['13327096742']
88865092688,['13327096742']
76222776077,"['20802143336', '16194349458', '14120637448', '12485416473']"
64773256598,"['20802143336', '16194349458', '14120637448', '12485416473']"
45442383315,['12955946482']
72273417245,['12955946482']
4645732095,['16885500141']
80618612499,['16885500141']
15767368971,['12800786483']
91897664240,"['18153481370', '12879216485']"
50436054993,"['18153481370', '12879216485']"
83274940336,['13338836733']
25082800317,['12605556473']
92059696067,['12605556473']
79239137684,['13015986484']
68063236913,['13015986484']
148565125,['12597176471']
57405858947,['12597176471']
62513214022,['16855729120']
70134439666,['12905476487']
92770191381,['12905476487']
81567655453,['12536726475']
29372497650,['12536726475']
41096399557,"['15407038466', '12557886474']"
33798367071,"['15407038466', '12557886474']"
84513899371,"['18185531384', '12458196473']"
92589851670,"['18185531384', '12458196473']"
75946717283,"['16131929446', '12434456473']"
26808687480,"['16131929446', '12434456473']"
37495478986,"['16402989405', '12592446476']"
44109123075,"['18315471328', '16429049402', '12964966484']"
7655775766,"['18315471328', '16429049402', '12964966484']"
32703043727,"['18184551389', '12347126474']"
9589734693,"['16143179441', '12707476477']"
15619979700,"['16143179441', '12707476477']"
63319533805,"['20489722164', '15351398458', '12495126479']"
887477515,"['20489722164', '15351398458', '12495126479']"
53630522545,['12668766475']
20059209094,['12668766475']
99319430727,['14614997028']
16842835557,['14614997028']
32619386304,['12431796471']
71361321527,['12431796471']
18660122521,['12749866476']
66757860215,['12749866476']
15510646522,['19084972100']
32759110688,['15774798273']
1003993204,['15774798273']
35680070326,"['18312831329', '15668598942', '15678878983']"
28606984015,"['18312831329', '15668598942', '15678878983']"
31508015841,"['20021232761', '15979249420', '15645648973']"
42143856244,"['20021232761', '15979249420', '15645648973']"
79155016937,['12445436470']
19171512353,['12445436470']
61603874222,"['15869939396', '12888886484']"
13637484854,"['15869939396', '12888886484']"
573942571,"['17945341352', '12713156478']"
99190975903,"['17945341352', '12713156478']"
35790762262,['12489576473']
82998200454,['12489576473']
90278965270,['12377776476']
7658071662,['12377776476']
96478244634,"['19627962354', '16074259432', '12367216470']"
69556298508,"['19627962354', '16074259432', '12367216470']"
57025649306,['21375053844']
33534660403,['12644346476']
59975663057,['12644346476']
91722248633,['12844976480']
22334149357,['12844976480']
44033154294,['13320706635']
3528320787,"['12519326479', '12508616470']"
19015016987,"['12519326479', '12508616470']"
86041539740,['16452599408']
39088853054,['16452599408']
21100541734,"['15121978402', '12876066488']"
48811065821,"['15121978402', '12876066488']"
99404681320,['12770186476']
23742886063,['12770186476']
88606221458,['17847631251']
74225587337,['17847631251']
69607237845,"['20811893334', '17383380516', '12419846478']"
80781861440,"['20811893334', '17383380516', '12419846478']"
39903572022,['12372086477']
91808237231,['12372086477']
94740664439,"['15295038446', '12455586477']"
28859018889,"['15295038446', '12455586477']"
54172387632,"['12708276471', '12525556471']"
6906974450,"['12708276471', '12525556471']"
38607382298,"['13827647392', '12563006472']"
12981406408,"['13827647392', '12563006472']"
73145178455,"['18292171319', '16376199498', '14106917448']"
60071569339,"['18292171319', '16376199498', '14106917448']"
68027905768,['12996386483']
38236798089,['12996386483']
40385183858,"['12360956476', '12370206479']"
685414925,['12779536471']
98417204125,['12779536471']
15090425685,['12590056471']
47733181226,['12590056471']
87918907669,['12877606485']
71222212691,['12877606485']
72260717008,"['17174570582', '12719396479']"
59084084198,"['17174570582', '12719396479']"
